codigo;nombre;tasa2016
39001;Alfoz de Lloredo;10.42
39002;Ampuero;15.38
39003;Anievas;5.10
39004;Arenas de Iguña;7.66
39005;Argoños;14.59
39006;Arnuero;11.76
39007;Arredondo;7.29
39008;Astillero (El);16.04
39009;Bárcena de Cicero;15.91
39010;Bárcena de Pie de Concha;7.75
39011;Bareyo;13.21
39012;Cabezón de la Sal;14.81
39013;Cabezón de Liébana;9.98
39014;Cabuérniga;8.10
39015;Camaleño;8.80
39016;Camargo;15.79
39017;Campoo de Yuso;12.79
39018;Cartes;20.93
39019;Castañeda;17.38
39020;Castro-Urdiales;16.82
39021;Cieza;9.53
39022;Cillorigo de Liébana;13.28
39023;Colindres;16.43
39024;Comillas;10.73
39025;Corrales de Buelna (Los);14.43
39026;Corvera de Toranzo;11.04
39027;Campoo de Enmedio;13.31
39028;Entrambasaguas;19.16
39029;Escalante;12.72
39030;Guriezo;15.26
39031;Hazas de Cesto;14.45
39032;Hermandad de Campoo de Suso;7.85
39033;Herrerías;7.02
39034;Lamasón;3.69
39035;Laredo;10.87
39036;Liendo;15.57
39037;Liérganes;10.37
39038;Limpias;14.40
39039;Luena;5.85
39040;Marina de Cudeyo;12.31
39041;Mazcuerras;13.21
39042;Medio Cudeyo;15.00
39043;Meruelo;17.00
39044;Miengo;13.08
39045;Miera;5.32
39046;Molledo;7.61
39047;Noja;14.25
39048;Penagos;13.40
39049;Peñarrubia;6.59
39050;Pesaguero;10.61
39051;Pesquera;4.23
39052;Piélagos;19.72
39053;Polaciones;6.33
39054;Polanco;17.88
39055;Potes;10.37
39056;Puente Viesgo;15.61
39057;Ramales de la Victoria;12.20
39058;Rasines;10.84
39059;Reinosa;9.93
39060;Reocín;15.76
39061;Ribamontán al Mar;14.11
39062;Ribamontán al Monte;12.82
39063;Rionansa;5.77
39064;Riotuerto;11.68
39065;Rozas de Valdearroyo (Las);6.91
39066;Ruente;11.21
39067;Ruesga;5.98
39068;Ruiloba;8.89
39069;San Felices de Buelna;13.78
39070;San Miguel de Aguayo;8.13
39071;San Pedro del Romeral;7.51
39072;San Roque de Riomiera;8.03
39073;Santa Cruz de Bezana;16.30
39074;Santa María de Cayón;16.16
39075;Santander;11.93
39076;Santillana del Mar;12.81
39077;Santiurde de Reinosa;4.91
39078;Santiurde de Toranzo;9.93
39079;Santoña;13.04
39080;San Vicente de la Barquera;10.68
39081;Saro;9.57
39082;Selaya;10.56
39083;Soba;6.57
39084;Solórzano;11.76
39085;Suances;15.06
39086;Tojos (Los);6.77
39087;Torrelavega;12.45
39088;Tresviso;2.82
39089;Tudanca;1.36
39090;Udías;13.62
39091;Valdáliga;11.05
39092;Valdeolea;5.37
39093;Valdeprado del Río;5.14
39094;Valderredible;8.09
39095;Val de San Vicente;13.21
39096;Vega de Liébana;7.61
39097;Vega de Pas;8.30
39098;Villacarriedo;10.45
39099;Villaescusa;15.22
39100;Villafufre;10.32
39101;Valle de Villaverde;7.95
39102;Voto;11.78
